id;trans_id;amount;date;wallet_type;trans_status;transaction_third_party_id
1;9dd68b88-4c12-415b-bfac-800bd39c9c69;12576.17;2025-03-03T02:20:05;SYSTEM_GAIN_DONE_TRIP_FEE;PENDING;whose phooey
2;1cb3ca30-3b35-4e5e-9776-3b7c0a6b1ff7;10526.86;2025-03-02T14:22:42;REFUND;PENDING;unabashedly
3;78eaa36d-5e1c-4152-b066-34b3e730fdc4;10925.05;2025-03-03T00:14:11;DEPOSIT;SUCCESS;dull failing
4;8245ca96-100b-4275-9363-a8ee10ec98b5;7426.69;2025-03-02T14:57:20;SYSTEM_GAIN_PASSENGER_APPROVE_FEE;FAILED;sophisticated
5;6010955f-4940-4264-894e-83fca554f733;25158.21;2025-03-02T21:28:14;DRIVER_DONE_TRIP_REFUND;FAILED;gymnast
6;24bcafa2-c597-4ba1-b843-aacd44533be9;18125.88;2025-03-02T04:03:50;PASSENGER_APPROVE_FEE;FAILED;hm yippee
7;1630bbdf-b998-457f-886e-3c3f2cc155e1;25557.94;2025-03-02T15:25:10;PASSENGER_APPROVE_FEE;PENDING;loudly
8;f9200377-069e-4196-b4c4-ee9c44f76d29;24323.48;2025-03-02T07:37:45;SYSTEM_GAIN_PACKAGE_FEE;SUCCESS;sashay dearly economise
9;897f8394-53cd-4624-ba8f-9618106efe8b;3398.46;2025-03-02T19:10:48;DRIVER_DONE_TRIP_FEE;FAILED;besides authentic
10;dcad1467-c28a-4975-bc9d-d03e68bc4783;5230.37;2025-03-02T13:45:47;SYSTEM_GAIN_PACKAGE_FEE;FAILED;than
