id;rating_id;rating_time;rating_driver;rating_type
1;f7fe628c-c4ec-4a8e-b316-6950f2cadbc1;2025-03-02T23:29:21;16959;USER_TO_DRIVER
2;e8c3ee26-9d2c-49d9-9283-ddd72b5a0389;2025-03-02T08:49:37;21622;DRIVER_TO_USER
3;5319a11d-22ec-4529-974f-db9f3cff3de5;2025-03-03T03:02:04;8806;DRIVER_TO_USER
4;d83ea411-67fb-4071-a254-cf20e8312ae8;2025-03-02T16:41:23;29491;USER_TO_DRIVER
5;f2299bfe-cfae-4eef-85b5-199ae73aebb1;2025-03-02T07:24:29;23593;USER_TO_DRIVER
6;ae138f43-29fd-42c3-af56-c797803c7cd8;2025-03-02T10:02:29;13416;USER_TO_DRIVER
7;3d8362e5-e31e-4a42-a003-96aa374e120e;2025-03-02T12:07:49;30916;USER_TO_DRIVER
8;9b4bc9c3-8536-47b4-9738-ae909e63277b;2025-03-02T07:39:11;19042;DRIVER_TO_USER
9;2b6f8ad0-fd46-46b5-80d9-3db7060aa44d;2025-03-02T13:17:29;1986;DRIVER_TO_USER
10;754d3572-7f2c-44ce-8ef1-2aeb55c466d1;2025-03-02T08:40:54;1172;USER_TO_DRIVER
