id;purchase_date;expiration_date;package_price;active
d6708be5-f808-419f-860b-7198277bade0;2025-03-16T06:00:19;2025-03-16T11:19:41;7390.75;false
795f27bf-a6c1-4143-ba23-dd2929de9f02;2025-03-16T09:13:46;2025-03-16T13:05:15;29520.68;false
7bf5573d-6df8-4abd-9f7a-32e3ef1c72c4;2025-03-16T05:50:01;2025-03-16T05:07:13;19431;true
a8acd451-c53d-4a21-bdbf-4c9a9527c8bf;2025-03-16T10:04:00;2025-03-16T08:21:06;26630.52;true
1eaff9b3-51ca-470f-9be3-c14cf3599e28;2025-03-16T12:11:31;2025-03-16T21:29:44;21419.79;false
5b9f7d9f-604f-4074-bd08-bde17821f8e7;2025-03-16T11:17:23;2025-03-17T00:42:58;3164.03;false
570001f0-961b-4fd4-8254-c5b83452b56b;2025-03-16T11:29:03;2025-03-16T19:56:21;5945.08;true
0c3b06d3-9c4d-4cee-a71c-dbe88c106b4a;2025-03-16T22:32:54;2025-03-16T18:01:57;18021.17;false
971cfe89-8063-4df1-8d29-1364debb4f6d;2025-03-16T20:03:48;2025-03-16T22:52:44;23960.36;true
8a2823f7-055c-424a-9613-2394112a85de;2025-03-16T21:12:12;2025-03-16T15:55:47;27531.04;true
